idsolicitud,total_activo,total_pasivo,patrimonio,fecha
"000000259","17300.00","0.00","17300.00","2018-04-03"
"000000260","6620.00","0.00","6620.00","2018-04-03"
"000000261","5250.00","0.00","5250.00","2018-04-03"
"000000262","22200.00","0.00","22200.00","2018-04-03"
"000000263","7340.00","0.00","7340.00","2018-02-16"
"000000264","7150.00","0.00","7150.00","2018-03-02"
"000000265","10550.00","0.00","10550.00","2018-03-14"
"000000266","4250.00","0.00","4250.00","2018-04-04"
"000000267","16500.00","5073.00","11427.00","2018-02-26"
"000000268","25500.00","5817.00","19683.00","2018-03-10"
"000000269","8000.00","1671.00","6329.00","2018-03-03"
"000000270","39000.00","16883.00","22117.00","2018-03-02"
"000000271","15200.00","0.00","15200.00","2018-02-27"
"000000272","2450.00","65.00","2385.00","2018-02-06"
"000000273","6150.00","908.00","5242.00","2018-02-26"
"000000274","18150.00","0.00","18150.00","2018-02-19"
"000000275","6730.00","0.00","6730.00","2018-04-05"
"000000276","6800.00","3854.00","2946.00","2018-03-13"
"000000278","20950.00","0.00","20950.00","2018-02-28"
"000000279","14900.00","0.00","14900.00","2018-04-06"
"000000280","4800.00","0.00","4800.00","2018-04-06"
"000000281","21910.00","0.00","21910.00","2018-03-10"
"000000282","4850.00","0.00","4850.00","2018-04-06"
"000000283","6200.00","0.00","6200.00","2018-03-10"
"000000284","17450.00","0.00","17450.00","2018-03-10"
"000000285","8090.00","0.00","8090.00","2018-03-02"
"000000286","5050.00","0.00","5050.00","2018-03-10"
"000000287","24150.00","1600.00","22550.00","2018-02-27"
"000000288","7530.00","0.00","7530.00","2018-03-03"
"000000289","4150.00","144.00","4006.00","2018-02-28"
"000000290","9850.00","0.00","9850.00","2018-02-27"
"000000291","1360.00","151.00","1209.00","2018-03-10"
"000000292","8500.00","1200.00","7300.00","2018-03-10"
"000000293","78700.00","0.00","78700.00","2018-04-09"
"000000294","6070.00","0.00","6070.00","2018-02-28"
"000000295","8700.00","1000.00","7700.00","2018-03-10"
"000000296","16500.00","6017.00","10483.00","2018-02-26"
"000000297","6600.00","0.00","6600.00","2018-04-10"
"000000298","6800.00","3854.00","2946.00","2018-03-13"
"000000299","7990.00","735.00","7255.00","2018-03-02"
"000000300","6700.00","0.00","6700.00","2018-03-10"
"000000301","7500.00","0.00","7500.00","2018-02-03"
"000000302","29200.00","398.00","28802.00","2018-03-10"
"000000303","6900.00","0.00","6900.00","2018-03-17"
"000000304","3300.00","0.00","3300.00","2018-02-23"
"000000305","4100.00","0.00","4100.00","2018-02-23"
"000000306","10150.00","0.00","10150.00","2018-04-12"
"000000307","100.00","0.00","100.00","2018-04-12"
"000000308","1500.00","0.00","1500.00","2018-04-12"
"000000310","7150.00","0.00","7150.00","2018-03-02"
"000000311","5850.00","0.00","5850.00","2018-04-13"
"000000313","6000.00","0.00","6000.00","2018-03-21"
"000000314","7700.00","0.00","7700.00","2018-03-10"
"000000315","25500.00","5817.00","19683.00","2018-03-10"
"000000316","16800.00","325.00","16475.00","2018-03-16"
"000000317","1600.00","0.00","1600.00","2018-02-14"
"000000319","8200.00","0.00","8200.00","2018-03-27"
"000000320","2250.00","0.00","2250.00","2018-04-14"
"000000321","500.00","0.00","500.00","2018-04-14"
"000000322","3500.00","0.00","3500.00","2018-02-19"
"000000323","6750.00","0.00","6750.00","2018-03-10"
"000000324","5300.00","0.00","5300.00","2018-02-19"
"000000325","4350.00","0.00","4350.00","2018-02-27"
"000000326","17300.00","0.00","17300.00","2018-04-03"
"000000327","15200.00","0.00","15200.00","2018-04-16"
"000000328","16900.00","9324.00","7576.00","2018-02-23"
"000000329","7900.00","0.00","7900.00","2018-01-30"
"000000330","1540.00","0.00","1540.00","2018-04-16"
"000000331","1450.00","0.00","1450.00","2018-04-17"
"000000332","7850.00","0.00","7850.00","2018-02-13"
"000000333","18800.00","0.00","18800.00","2018-04-17"
"000000334","18850.00","0.00","18850.00","2018-03-10"
"000000335","19300.00","7231.00","12069.00","2018-02-27"
"000000336","39000.00","16883.00","22117.00","2018-03-02"
"000000337","15200.00","0.00","15200.00","2018-04-17"
"000000338","2400.00","0.00","2400.00","2018-04-18"
"000000339","5080.00","0.00","5080.00","2018-04-18"
"000000340","8150.00","0.00","8150.00","2018-03-26"
"000000341","100.00","0.00","100.00","2018-04-18"
"000000342","28000.00","8252.00","19748.00","2018-03-10"
"000000343","8200.00","0.00","8200.00","2018-02-24"
"000000344","5300.00","0.00","5300.00","2018-04-19"
"000000345","13500.00","0.00","13500.00","2018-02-13"
"000000346","1000.00","0.00","1000.00","2018-02-27"
"000000347","99999.99","63713.00","99999.99","2018-04-20"
"000000348","8700.00","1000.00","7700.00","2018-03-10"
"000000350","8200.00","0.00","8200.00","2018-03-27"
"000000351","18850.00","0.00","18850.00","2018-03-10"
"000000352","2130.00","125.00","2005.00","2018-03-12"
"000000353","1630.00","0.00","1630.00","2018-03-16"
"000000354","1600.00","0.00","1600.00","2018-01-29"
"000000355","37000.00","971.00","36029.00","2018-03-21"
"000000356","15600.00","1800.00","13800.00","2018-02-21"
"000000357","8100.00","3000.00","5100.00","2018-03-13"
"000000358","18300.00","0.00","18300.00","2018-03-02"
"000000359","22200.00","0.00","22200.00","2018-04-03"
"000000360","22350.00","2088.00","20262.00","2018-03-12"
"000000361","20200.00","0.00","20200.00","2018-02-08"
"000000362","1200.00","0.00","1200.00","2018-03-17"
"000000363","16800.00","325.00","16475.00","2018-03-16"
"000000364","5500.00","0.00","5500.00","2018-03-23"
"000000365","6100.00","0.00","6100.00","2018-04-24"
"000000366","5250.00","0.00","5250.00","2018-04-24"
"000000368","1000.00","0.00","1000.00","2018-03-14"
"000000369","4720.00","0.00","4720.00","2018-02-21"
"000000370","1230.00","0.00","1230.00","2018-03-10"
"000000371","1600.00","0.00","1600.00","2018-02-14"
"000000372","6150.00","908.00","5242.00","2018-02-26"
"000000373","3260.00","0.00","3260.00","2018-04-25"
"000000374","39000.00","16883.00","22117.00","2018-03-02"
"000000375","7150.00","0.00","7150.00","2018-03-02"
"000000376","5250.00","0.00","5250.00","2018-04-25"
"000000377","100.00","0.00","100.00","2018-04-26"
"000000378","1500.00","0.00","1500.00","2018-02-27"
"000000379","10090.00","0.00","10090.00","2018-04-26"
"000000380","5250.00","0.00","5250.00","2018-04-26"
"000000381","300.00","0.00","300.00","2018-03-22"
"000000382","5200.00","130.00","5070.00","2018-02-17"
"000000383","12300.00","990.00","11310.00","2018-02-28"
"000000384","150.00","0.00","150.00","2018-04-27"
"000000385","99999.99","26745.00","81955.00","2018-02-13"
"000000387","9100.00","0.00","9100.00","2018-04-27"
"000000388","8700.00","1000.00","7700.00","2018-03-10"
"000000389","1460.00","0.00","1460.00","2018-02-22"
"000000391","3470.00","200.00","3270.00","2018-02-12"
"000000392","1630.00","0.00","1630.00","2018-03-16"
"000000393","6000.00","0.00","6000.00","2018-03-22"
"000000395","15150.00","0.00","15150.00","2018-02-24"
"000000396","4250.00","0.00","4250.00","2018-03-01"
"000000397","36000.00","26500.00","9500.00","2018-02-28"
"000000398","24150.00","1600.00","22550.00","2018-02-27"
"000000399","1600.00","0.00","1600.00","2018-02-28"
"000000400","4200.00","0.00","4200.00","2018-02-23"
"000000401","26000.00","0.00","26000.00","2018-03-16"
"000000402","6100.00","0.00","6100.00","2018-04-24"
"000000403","5250.00","0.00","5250.00","2018-04-03"
"000000404","50500.00","0.00","50500.00","2018-03-05"
"000000405","22350.00","1500.00","20850.00","2018-03-12"
"000000406","83500.00","0.00","83500.00","2018-03-02"
"000000407","10900.00","0.00","10900.00","2018-02-15"
"000000408","15800.00","1500.00","14300.00","2018-02-19"
"000000409","19800.00","0.00","19800.00","2018-03-28"
"000000410","10550.00","0.00","10550.00","2018-03-14"
"000000411","5200.00","0.00","5200.00","2018-05-03"
"000000412","2250.00","0.00","2250.00","2018-05-04"
"000000413","6150.00","908.00","5242.00","2018-02-26"
"000000415","18150.00","0.00","18150.00","2018-02-19"
"000000416","8670.00","0.00","8670.00","2018-03-12"
"000000417","78700.00","0.00","78700.00","2018-04-09"
"000000418","6620.00","0.00","6620.00","2018-04-03"
"000000419","3200.00","0.00","3200.00","2018-02-22"
"000000420","16900.00","9324.00","7576.00","2018-02-23"
"000000421","16500.00","6017.00","10483.00","2018-02-26"
"000000422","12200.00","0.00","12200.00","2018-05-05"
"000000423","12800.00","0.00","12800.00","2018-05-05"
"000000424","5100.00","0.00","5100.00","2018-05-05"
"000000425","500.00","0.00","500.00","2018-04-14"
