idsolicitud,idsolicitud_acancelar,estado,saldocuota,saldomora,totaldeuda
"000039310","000038441","PAGO","0.00","0.60","0.60"
"000039311","000038364","PAGO","129.60","1.60","131.20"
"000039312","000038366","PAGO","216.00","1.20","217.20"
"000039313","000038367","PAGO","432.00","0.80","432.80"
"000039314","000038369","PAGO","324.00","0.80","324.80"
"000039316","000038527","PAGO","81.60","0.90","82.50"
"000039318","000038631","PAGO","750.00","10.00","760.00"
"000039319","000038011","DEBE","0.00","5.20","5.20"
"000039321","000038247","PAGO","642.00","4.00","646.00"
"000039322","000038352","PAGO","0.00","0.80","0.80"
"000039323","000038436","PAGO","0.00","0.60","0.60"
"000039324","000038398","PAGO","0.00","3.20","3.20"
"000039325","000038335","PAGO","143.40","1.20","144.60"
"000039326","000038309","PAGO","27.00","0.30","27.30"
"000039327","000038484","PAGO","1070.00","1.00","1071.00"
"000039329","000037189","PAGO","0.00","0.30","0.30"
"000039329","000038249","PAGO","0.00","1.50","1.50"
"000039330","000038625","PAGO","324.00","2.00","326.00"
"000039331","000038626","PAGO","162.00","1.20","163.20"
"000039332","000038459","PAGO","144.50","2.00","146.50"
"000039335","000038850","PAGO","1312.50","0.00","1312.50"
"000039336","000038535","PAGO","272.50","0.00","272.50"
"000039337","000038534","PAGO","136.10","0.00","136.10"
"000039338","000038487","DEBE","65.30","0.00","65.30"
"000039339","000038532","PAGO","162.00","1.20","163.20"
"000039340","000038486","PAGO","486.00","3.20","489.20"
"000039341","000038497","PAGO","1320.00","17.60","1337.60"
"000039342","000038216","PAGO","34.40","2.40","36.80"
"000039343","000038563","PAGO","0.00","0.30","0.30"
"000039348","000038707","PAGO","272.50","0.80","273.30"
"000039349","000038883","PAGO","0.00","0.30","0.30"
"000039350","000038830","PAGO","136.10","0.00","136.10"
"000039353","000038407","PAGO","261.60","2.80","264.40"
"000039355","000038512","PAGO","76.00","0.60","76.60"
"000039357","000038788","PAGO","272.50","0.00","272.50"
"000039358","000038418","PAGO","0.00","3.20","3.20"
"000039360","000038053","PAGO","0.00","0.90","0.90"
"000039360","000038563","PAGO","0.00","0.30","0.30"
"000039362","000038688","DEBE","105.00","4.00","109.00"
"000039363","000038688","DEBE","105.00","4.00","109.00"
"000039364","000038688","PAGO","105.00","3.20","108.20"
"000039365","000038504","PAGO","265.00","6.40","271.40"
"000039366","000038453","PAGO","2140.00","8.00","2148.00"
"000039367","000038281","DEBE","0.00","2.40","2.40"
"000039368","000038281","DEBE","0.00","2.40","2.40"
"000039369","000038281","PAGO","0.00","0.80","0.80"
"000039371","000038474","PAGO","0.00","0.80","0.80"
"000039372","000038372","PAGO","289.20","3.60","292.80"
"000039373","000038519","DEBE","288.00","2.00","290.00"
"000039374","000038519","DEBE","288.00","2.00","290.00"
"000039376","000038519","PAGO","288.00","1.20","289.20"
"000039377","000038599","PAGO","136.10","0.60","136.70"
"000039378","000038491","PAGO","107.00","1.80","108.80"
"000039379","000038521","PAGO","288.00","1.20","289.20"
"000039380","000038492","PAGO","107.00","1.80","108.80"
"000039381","000038197","PAGO","115.30","7.50","122.80"
"000039384","000038766","PAGO","0.00","2.40","2.40"
"000039385","000038201","PAGO","0.00","2.40","2.40"
"000039388","000038327","PAGO","144.40","4.00","148.40"
"000039389","000038489","PAGO","4240.00","12.00","4252.00"
"000039390","000038713","PAGO","272.50","1.60","274.10"
"000039391","000038668","DEBE","190.60","4.00","194.60"
"000039392","000038422","PAGO","0.00","3.20","3.20"
"000039394","000038748","PAGO","212.00","18.00","230.00"
"000039397","000038703","PAGO","63.60","0.80","64.40"
"000039398","000038642","PAGO","142.80","1.20","144.00"
"000039400","000038836","PAGO","0.00","0.90","0.90"
"000039402","000037642","PAGO","0.00","0.80","0.80"
"000039403","000038449","PAGO","0.00","3.60","3.60"
"000039404","000038817","PAGO","54.50","0.00","54.50"
"000039405","000038674","PAGO","162.80","0.90","163.70"
"000039406","000038588","PAGO","284.60","0.80","285.40"
"000039408","000038893","PAGO","428.00","0.40","428.40"
"000039409","000038721","PAGO","135.00","0.00","135.00"
"000039410","000038363","PAGO","169.70","4.00","173.70"
"000039412","000038815","PAGO","0.00","4.80","4.80"
"000039414","000038632","PAGO","0.00","1.50","1.50"
"000039417","000038073","PAGO","53.10","6.30","59.40"
"000039418","000038104","PAGO","0.00","0.80","0.80"
"000039419","000037980","PAGO","0.00","0.60","0.60"
"000039421","000038239","PAGO","0.00","0.30","0.30"
"000039422","000038434","PAGO","65.40","0.00","65.40"
"000039423","000038668","PAGO","0.00","4.00","4.00"
"000039424","000038373","PAGO","0.00","4.00","4.00"
"000039424","000039001","PAGO","3254.00","16.00","3270.00"
"000039425","000038551","DEBE","0.00","2.40","2.40"
"000039426","000038537","PAGO","152.60","0.40","153.00"
"000039428","000039008","PAGO","136.10","0.00","136.10"
"000039429","000038699","PAGO","362.00","1.20","363.20"
"000039429","000038794","PAGO","815.00","2.00","817.00"
"000039431","000038958","PAGO","749.00","7.20","756.20"
"000039433","000038469","PAGO","0.00","0.60","0.60"
"000039436","000038576","DEBE","1161.20","8.00","1169.20"
"000039437","000038576","DEBE","1161.20","8.00","1169.20"
"000039439","000038154","PAGO","0.00","3.00","3.00"
"000039440","000037965","PAGO","0.00","0.80","0.80"
"000039441","000038698","PAGO","184.00","1.20","185.20"
"000039442","000038636","PAGO","0.00","0.80","0.80"
"000039444","000038631","PAGO","0.00","1.00","1.00"
"000039444","000038965","PAGO","594.00","8.00","602.00"
"000039445","000038427","PAGO","107.20","2.80","110.00"
"000039446","000037902","PAGO","0.00","2.00","2.00"
"000039448","000038866","PAGO","174.00","0.00","174.00"
"000039449","000038607","PAGO","152.60","2.40","155.00"
"000039450","000038428","PAGO","92.60","6.40","99.00"
"000039451","000038589","PAGO","595.50","7.20","602.70"
"000039452","000038735","PAGO","540.00","0.00","540.00"
"000039453","000038628","PAGO","0.00","2.40","2.40"
"000039454","000038547","DEBE","70.80","2.00","72.80"
"000039455","000038547","PAGO","70.80","1.20","72.00"
"000039456","000038545","PAGO","35.40","0.90","36.30"
"000039457","000038420","PAGO","23.20","0.80","24.00"
"000039459","000038421","PAGO","17.10","0.60","17.70"
"000039460","000038463","DEBE","201.60","1.60","203.20"
"000039461","000038463","PAGO","201.60","0.00","201.60"
"000039463","000038509","PAGO","90.00","1.80","91.80"
"000039464","000038437","PAGO","76.00","1.20","77.20"
"000039465","000038747","PAGO","28.60","0.60","29.20"
"000039466","000038821","PAGO","258.20","2.40","260.60"
"000039467","000038841","PAGO","42.40","2.10","44.50"
"000039468","000038591","PAGO","756.00","2.00","758.00"
"000039469","000038472","PAGO","179.60","0.40","180.00"
"000039472","000038960","PAGO","77.00","0.00","77.00"
"000039474","000038439","PAGO","0.00","2.00","2.00"
"000039475","000038953","DEBE","72.40","0.30","72.70"
"000039476","000038953","DEBE","72.40","0.30","72.70"
"000039477","000038797","PAGO","252.80","2.80","255.60"
"000039478","000038264","PAGO","0.00","12.00","12.00"
"000039479","000038502","PAGO","0.00","1.20","1.20"
"000039480","000038525","PAGO","725.20","1.00","726.20"
"000039481","000038293","PAGO","0.00","1.60","1.60"
"000039482","000038763","PAGO","180.00","0.00","180.00"
"000039483","000038684","PAGO","2100.00","12.00","2112.00"
"000039484","000038555","PAGO","0.00","0.80","0.80"
"000039485","000039070","PAGO","3150.00","0.00","3150.00"
"000039486","000039059","PAGO","1312.50","0.00","1312.50"
"000039490","000037525","PAGO","0.00","0.90","0.90"
"000039490","000038482","PAGO","81.40","0.00","81.40"
"000039491","000036723","PAGO","0.00","13.60","13.60"
"000039491","000038444","PAGO","3600.00","20.00","3620.00"
"000039492","000038300","PAGO","0.00","0.80","0.80"
"000039493","000038996","PAGO","324.00","0.80","324.80"
"000039494","000038711","PAGO","0.00","0.80","0.80"
"000039495","000038543","PAGO","972.00","7.00","979.00"
"000039496","000038553","PAGO","936.00","8.40","944.40"
"000039497","000038583","PAGO","49.00","0.40","49.40"
"000039498","000038585","PAGO","109.00","0.80","109.80"
"000039499","000038691","PAGO","0.00","3.00","3.00"
"000039499","000038749","PAGO","0.00","3.00","3.00"
"000039500","000038574","PAGO","196.20","2.00","198.20"
"000039501","000038298","PAGO","0.00","0.90","0.90"
"000039503","000039068","PAGO","245.10","0.00","245.10"
"000039504","000038539","DEBE","130.80","0.00","130.80"
"000039505","000038539","PAGO","130.80","0.00","130.80"
"000039507","000038953","PAGO","72.40","0.30","72.70"
"000039508","000038403","PAGO","327.00","8.80","335.80"
"000039509","000038972","PAGO","361.70","1.20","362.90"
"000039511","000038745","PAGO","121.60","1.20","122.80"
"000039512","000038620","PAGO","272.50","1.60","274.10"
"000039518","000038604","PAGO","161.60","4.20","165.80"
"000039519","000038450","PAGO","53.60","1.20","54.80"
"000039520","000038644","PAGO","57.40","1.50","58.90"
"000039523","000038624","PAGO","0.00","0.80","0.80"
"000039524","000038672","PAGO","0.00","0.80","0.80"
"000039528","000038500","DEBE","187.20","5.60","192.80"
"000039529","000038500","PAGO","187.20","5.60","192.80"
"000039530","000038379","PAGO","0.00","1.50","1.50"
"000039532","000038656","PAGO","446.70","6.40","453.10"
"000039533","000037765","PAGO","-36.36","0.00","-36.36"
"000039534","000037999","PAGO","467.00","44.00","511.00"
"000039535","000038381","PAGO","500.00","0.00","500.00"
"000039536","000038940","PAGO","53.00","1.80","54.80"
"000039537","000038465","PAGO","0.00","1.60","1.60"
"000039539","000038709","PAGO","545.00","1.60","546.60"
"000039541","000038533","PAGO","0.00","0.30","0.30"
"000039542","000037346","PAGO","0.00","0.60","0.60"
"000039543","000038435","PAGO","144.40","1.60","146.00"
"000039544","000038852","PAGO","47.70","1.50","49.20"
"000039545","000038717","PAGO","126.30","0.60","126.90"
"000039547","000038714","PAGO","67.90","0.90","68.80"
"000039549","000039126","PAGO","1325.00","2.00","1327.00"
"000039550","000038579","PAGO","143.60","0.40","144.00"
"000039552","000038578","PAGO","143.60","0.40","144.00"
"000039553","000036561","PAGO","0.00","13.20","13.20"
"000039553","000038720","PAGO","0.00","0.80","0.80"
"000039554","000037836","DEBE","0.00","2.00","2.00"
"000039554","000038580","DEBE","712.00","5.60","717.60"
"000039555","000038316","PAGO","0.00","2.10","2.10"
"000039556","000038694","PAGO","0.00","2.10","2.10"
"000039558","000038967","PAGO","272.50","0.00","272.50"
"000039559","000038968","PAGO","270.00","0.00","270.00"
"000039562","000037458","PAGO","0.00","4.80","4.80"
"000039562","000038816","PAGO","1070.00","15.20","1085.20"
"000039566","000038409","DEBE","0.00","4.00","4.00"
"000039568","000038475","PAGO","0.00","6.40","6.40"
"000039569","000035527","PAGO","0.00","1.20","1.20"
"000039572","000038088","PAGO","0.00","1.20","1.20"
"000039572","000038716","PAGO","201.60","0.80","202.40"
"000039574","000038759","PAGO","218.00","-2.00","216.00"
"000039575","000038878","DEBE","272.50","0.00","272.50"
"000039576","000038878","PAGO","272.50","0.00","272.50"
"000039577","000038582","PAGO","114.50","2.80","117.30"
"000039578","000038860","PAGO","270.00","5.20","275.20"
"000039580","000038933","PAGO","136.10","0.00","136.10"
"000039581","000039042","PAGO","218.00","0.00","218.00"
"000039582","000038700","PAGO","252.00","0.80","252.80"
"000039583","000038682","PAGO","252.00","1.20","253.20"
"000039584","000038987","PAGO","136.10","0.00","136.10"
"000039585","000038832","PAGO","362.00","2.80","364.80"
"000039586","000038903","PAGO","210.00","3.20","213.20"
"000039587","000038955","PAGO","218.00","0.80","218.80"
"000039588","000038687","PAGO","45.60","2.80","48.40"
"000039589","000038865","PAGO","212.00","1.60","213.60"
"000039590","000039095","PAGO","136.10","0.00","136.10"
"000039591","000037953","PAGO","0.00","2.00","2.00"
"000039595","000038892","PAGO","0.00","2.00","2.00"
"000039596","000038876","PAGO","212.00","1.60","213.60"
"000039597","000038781","DEBE","270.00","1.20","271.20"
"000039598","000038997","PAGO","408.60","3.20","411.80"
"000039599","000038781","PAGO","270.00","1.20","271.20"
"000039600","000038905","PAGO","68.00","0.60","68.60"
"000039602","000038924","PAGO","109.00","1.50","110.50"
"000039603","000038928","PAGO","81.60","1.50","83.10"
"000039604","000038959","PAGO","540.00","1.60","541.60"
"000039607","000038233","PAGO","0.00","1.80","1.80"
"000039608","000039017","PAGO","0.00","0.40","0.40"
"000039612","000038792","PAGO","325.60","2.40","328.00"
"000039613","000038806","PAGO","0.00","4.00","4.00"
"000039614","000038855","PAGO","290.00","2.40","292.40"
"000039615","000038754","PAGO","0.00","1.60","1.60"
"000039617","000038795","PAGO","0.00","0.60","0.60"
"000039618","000027416","PAGO","0.00","0.90","0.90"
"000039619","000039182","PAGO","0.00","2.70","2.70"
"000039620","000038962","PAGO","272.50","2.80","275.30"
"000039621","000038803","PAGO","190.60","2.80","193.40"
"000039622","000038825","PAGO","218.00","4.40","222.40"
"000039625","000038646","PAGO","181.00","1.80","182.80"
"000039626","000038807","PAGO","0.00","0.30","0.30"
"000039627","000037646","PAGO","0.00","0.30","0.30"
"000039628","000038230","PAGO","0.00","2.10","2.10"
"000039631","000038479","PAGO","0.00","0.00","0.00"
"000039632","000038452","DEBE","36.00","2.40","38.40"
"000039633","000038452","DEBE","36.00","2.40","38.40"
"000039634","000038452","PAGO","36.00","3.60","39.60"
"000039635","000038863","PAGO","25.30","2.70","28.00"
"000039636","000038756","PAGO","158.00","0.00","158.00"
"000039639","000039043","PAGO","136.10","0.30","136.40"
"000039640","000038036","PAGO","0.00","0.30","0.30"
"000039640","000038661","PAGO","129.60","0.80","130.40"
"000039641","000038950","PAGO","144.00","1.80","145.80"
"000039643","000038885","PAGO","1872.50","4.00","1876.50"
"000039644","000038443","PAGO","0.00","2.70","2.70"
"000039645","000038952","PAGO","681.10","2.00","683.10"
"000039646","000039082","PAGO","0.00","1.20","1.20"
"000039647","000039004","DEBE","272.50","0.40","272.90"
"000039648","000039004","PAGO","272.50","0.40","272.90"
"000039649","000038057","PAGO","0.00","0.30","0.30"
"000039649","000038819","PAGO","0.00","4.80","4.80"
"000039650","000039020","PAGO","1080.00","14.00","1094.00"
"000039651","000038730","PAGO","0.00","0.00","0.00"
"000039653","000038559","PAGO","21.80","0.00","21.80"
"000039654","000038999","PAGO","545.00","0.80","545.80"
"000039655","000038831","PAGO","75.60","0.00","75.60"
"000039656","000038669","PAGO","0.00","3.00","3.00"
"000039658","000038853","PAGO","2520.00","8.00","2528.00"
"000039660","000038752","DEBE","61.40","2.10","63.50"
"000039661","000038912","PAGO","39.60","1.50","41.10"
"000039662","000038207","PAGO","0.00","2.10","2.10"
"000039663","000038900","PAGO","0.00","0.00","0.00"
"000039665","000038837","PAGO","100.00","4.80","104.80"
"000039666","000038777","PAGO","0.00","0.40","0.40"
"000039667","000038818","PAGO","288.00","0.40","288.40"
"000039668","000038718","PAGO","0.00","0.80","0.80"
"000039671","000038882","PAGO","0.00","1.20","1.20"
"000039673","000039051","PAGO","50.00","1.80","51.80"
"000039674","000038704","DEBE","0.00","0.80","0.80"
"000039675","000039160","PAGO","545.00","0.40","545.40"
"000039676","000038858","PAGO","0.00","0.90","0.90"
"000039677","000038060","PAGO","0.00","0.80","0.80"
"000039677","000038783","PAGO","0.00","1.60","1.60"
"000039678","000038446","PAGO","0.00","0.90","0.90"
"000039679","000038003","PAGO","0.00","0.40","0.40"
"000039679","000038725","PAGO","0.00","1.60","1.60"
"000039680","000039120","PAGO","210.00","1.20","211.20"
"000039682","000038623","PAGO","17.20","1.20","18.40"
"000039683","000039011","DEBE","30.80","0.60","31.40"
"000039685","000038627","PAGO","8.00","1.20","9.20"
"000039686","000039011","PAGO","30.80","0.30","31.10"
"000039688","000039176","DEBE","348.20","0.80","349.00"
"000039689","000038824","DEBE","252.80","1.60","254.40"
"000039691","000039211","PAGO","1325.00","2.00","1327.00"
"000039693","000038956","PAGO","144.00","0.00","144.00"
"000039694","000038983","PAGO","348.80","0.00","348.80"
"000039695","000038757","PAGO","53.60","0.00","53.60"
"000039696","000038641","DEBE","0.00","1.60","1.60"
"000039697","000038641","PAGO","0.00","1.60","1.60"
"000039698","000039176","PAGO","290.00","0.80","290.80"
"000039700","000038800","PAGO","227.50","3.20","230.70"
"000039702","000038750","PAGO","324.00","1.60","325.60"
"000039703","000039066","PAGO","135.00","0.60","135.60"
"000039704","000038824","DEBE","216.40","2.00","218.40"
"000039706","000038706","PAGO","0.00","1.50","1.50"
"000039707","000038909","PAGO","0.00","1.50","1.50"
"000039708","000038389","PAGO","0.00","2.00","2.00"
"000039709","000038943","PAGO","3240.00","14.00","3254.00"
"000039710","000039035","PAGO","272.50","0.00","272.50"
"000039711","000038673","PAGO","0.00","0.00","0.00"
"000039713","000038897","DEBE","320.30","0.80","321.10"
"000039714","000038886","PAGO","272.50","1.20","273.70"
"000039715","000038612","PAGO","0.00","4.00","4.00"
"000039716","000039197","PAGO","408.60","4.00","412.60"
"000039717","000039023","PAGO","2520.00","2.00","2522.00"
"000039719","000038977","PAGO","0.00","0.80","0.80"
"000039720","000039123","PAGO","162.00","2.00","164.00"
"000039724","000038805","PAGO","85.60","2.10","87.70"
"000039725","000038457","PAGO","0.00","0.60","0.60"
"000039725","000038728","PAGO","53.60","0.30","53.90"
"000039726","000039220","PAGO","918.00","6.00","924.00"
"000039727","000039221","PAGO","132.50","1.20","133.70"
"000039728","000039298","PAGO","436.00","0.00","436.00"
"000039729","000038930","PAGO","0.00","3.20","3.20"
"000039730","000039154","PAGO","63.60","0.30","63.90"
"000039731","000039148","PAGO","42.40","0.30","42.70"
"000039732","000039010","DEBE","0.00","1.80","1.80"
"000039733","000038576","PAGO","0.00","8.00","8.00"
"000039736","000039029","PAGO","108.20","0.60","108.80"
"000039738","000039027","PAGO","376.40","3.20","379.60"
"000039739","000038897","PAGO","284.60","0.40","285.00"
"000039741","000038911","PAGO","248.90","1.20","250.10"
"000039742","000039033","PAGO","327.00","4.00","331.00"
"000039743","000038789","PAGO","0.00","8.00","8.00"
"000039744","000039090","PAGO","186.90","1.50","188.40"
"000039745","000031435","PAGO","0.00","1.20","1.20"
"000039747","000039165","PAGO","62.00","0.60","62.60"
"000039748","000039128","PAGO","218.00","0.40","218.40"
"000039749","000038242","PAGO","0.00","2.40","2.40"
"000039750","000039429","DEBE","2226.00","1.00","2227.00"
"000039751","000038572","PAGO","0.00","0.90","0.90"
"000039753","000039113","PAGO","159.00","1.20","160.20"
"000039755","000012022","PAGO","0.00","0.00","0.00"
"000039756","000011238","PAGO","0.00","0.00","0.00"
"000039757","000038957","PAGO","136.10","0.00","136.10"
"000039759","000039044","PAGO","0.00","1.60","1.60"
"000039760","000038556","PAGO","0.00","1.20","1.20"
"000039761","000036033","PAGO","0.00","0.40","0.40"
"000039761","000038775","PAGO","180.00","1.60","181.60"
"000039762","000039149","PAGO","0.00","4.00","4.00"
"000039765","000039159","PAGO","81.60","0.00","81.60"
"000039766","000039158","PAGO","272.50","0.00","272.50"
"000039767","000039156","PAGO","136.10","0.00","136.10"
"000039768","000038945","PAGO","216.00","0.40","216.40"
"000039769","000038696","PAGO","0.00","0.00","0.00"
"000039769","000039041","PAGO","0.00","1.20","1.20"
"000039770","000039201","PAGO","525.00","1.60","526.60"
"000039771","000038908","PAGO","0.00","0.30","0.30"
"000039772","000039093","PAGO","165.00","0.30","165.30"
"000039773","000039094","PAGO","272.00","0.40","272.40"
"000039774","000038975","PAGO","125.00","1.80","126.80"
"000039775","000038918","PAGO","1360.00","18.00","1378.00"
"000039776","000038683","PAGO","0.00","2.40","2.40"
"000039778","000039077","PAGO","314.20","5.60","319.80"
"000039781","000039099","PAGO","0.00","1.20","1.20"
"000039782","000038993","PAGO","0.00","0.00","0.00"
"000039783","000038762","DEBE","0.00","1.20","1.20"
"000039784","000038773","PAGO","0.00","1.60","1.60"
"000039785","000038934","PAGO","0.00","0.60","0.60"
"000039786","000038976","PAGO","1750.00","0.00","1750.00"
"000039787","000039231","PAGO","136.10","0.00","136.10"
"000039788","000038348","PAGO","0.00","0.80","0.80"
"000039789","000038845","DEBE","72.00","4.20","76.20"
"000039790","000038845","PAGO","72.00","4.20","76.20"
"000039791","000038929","PAGO","0.00","0.90","0.90"
"000039792","000039054","PAGO","0.00","2.40","2.40"
"000039793","000038693","PAGO","0.00","0.90","0.90"
"000039794","000039257","PAGO","135.00","0.00","135.00"
"000039795","000038701","PAGO","0.00","9.60","9.60"
"000039796","000038973","PAGO","5250.00","0.00","5250.00"
"000039798","000038867","PAGO","0.00","3.60","3.60"
"000039800","000037600","PAGO","0.00","1.00","1.00"
"000039800","000039180","PAGO","726.00","6.40","732.40"
"000039801","000038947","PAGO","880.00","5.00","885.00"
"000039802","000039328","PAGO","0.00","0.00","0.00"
"000039803","000038861","PAGO","147.20","2.40","149.60"
"000039804","000038738","PAGO","506.80","8.00","514.80"
"000039806","000038890","PAGO","0.00","0.80","0.80"
"000039807","000039246","PAGO","190.60","0.00","190.60"
"000039808","000035215","PAGO","0.00","0.40","0.40"
"000039809","000039004","PAGO","0.00","0.40","0.40"
"000039810","000038880","DEBE","0.00","2.40","2.40"
"000039811","000038162","PAGO","0.00","0.80","0.80"
"000039812","000039101","PAGO","98.10","0.60","98.70"
"000039813","000039248","PAGO","270.00","0.40","270.40"
"000039814","000038678","PAGO","0.00","0.00","0.00"
"000039815","000039227","PAGO","25.30","1.20","26.50"
"000039816","000038809","PAGO","43.60","3.60","47.20"
"000039817","000038809","DEBE","43.60","3.20","46.80"
"000039817","000038810","DEBE","70.80","3.20","74.00"
"000039818","000038810","PAGO","70.80","3.60","74.40"
"000039819","000037579","DEBE","0.00","4.80","4.80"
"000039820","000037579","DEBE","0.00","4.80","4.80"
"000039821","000039174","PAGO","0.00","3.20","3.20"
"000039823","000038692","PAGO","0.00","1.50","1.50"
"000039823","000038723","PAGO","0.00","1.80","1.80"
"000039825","000039264","PAGO","0.00","2.00","2.00"
"000039826","000038964","PAGO","588.60","1.60","590.20"
"000039827","000038686","PAGO","0.00","1.50","1.50"
"000039828","000038907","DEBE","108.00","0.90","108.90"
"000039829","000039083","PAGO","87.20","0.00","87.20"
"000039830","000038575","PAGO","0.00","0.30","0.30"
"000039830","000039242","PAGO","53.00","2.10","55.10"
"000039832","000039350","PAGO","136.10","0.00","136.10"
"000039834","000038729","PAGO","70.80","1.20","72.00"
"000039835","000038347","PAGO","0.00","2.70","2.70"
"000039836","000038877","PAGO","45.00","0.30","45.30"
"000039837","000039167","PAGO","802.50","3.00","805.50"
"000039838","000039088","PAGO","616.80","2.00","618.80"
"000039840","000038942","PAGO","0.00","0.00","0.00"
"000039841","000038663","DEBE","0.00","0.40","0.40"
"000039842","000039447","PAGO","545.00","0.00","545.00"
"000039843","000039270","PAGO","262.50","1.60","264.10"
"000039844","000039171","PAGO","25.30","0.60","25.90"
"000039845","000039142","PAGO","327.00","0.80","327.80"
"000039846","000038705","PAGO","0.00","0.00","0.00"
"000039847","000039085","PAGO","410.00","5.60","415.60"
"000039848","000038974","PAGO","0.00","0.90","0.90"
"000039849","000039431","PAGO","267.50","1.60","269.10"
"000039851","000039107","PAGO","540.00","0.00","540.00"
"000039852","000039282","DEBE","408.60","0.80","409.40"
"000039853","000038871","PAGO","0.00","1.20","1.20"
"000039854","000038990","PAGO","2016.00","8.00","2024.00"
"000039856","000039103","PAGO","218.00","1.20","219.20"
"000039858","000039503","PAGO","245.10","0.00","245.10"
"000039859","000039280","PAGO","545.00","0.00","545.00"
"000039861","000039164","PAGO","530.00","7.00","537.00"
"000039863","000039129","PAGO","0.00","20.00","20.00"
"000039865","000039199","PAGO","726.00","0.00","726.00"
"000039868","000036536","DEBE","0.00","4.00","4.00"
"000039869","000036536","PAGO","0.00","4.00","4.00"
"000039872","000038994","PAGO","0.00","0.30","0.30"
"000039873","000039485","PAGO","3150.00","0.00","3150.00"
"000039875","000039322","PAGO","0.00","0.80","0.80"
"000039876","000039486","PAGO","1312.50","0.00","1312.50"
"000039877","000038590","PAGO","43.00","8.40","51.40"
"000039878","000038932","PAGO","0.00","1.20","1.20"
"000039879","000039026","PAGO","0.00","0.80","0.80"
"000039880","000039112","PAGO","354.10","12.80","366.90"
"000039882","000036939","PAGO","0.00","10.00","10.00"
"000039883","000038870","PAGO","12.60","2.10","14.70"
"000039886","000038879","PAGO","0.00","0.00","0.00"
"000039888","000038493","PAGO","0.00","1.20","1.20"
"000039889","000038076","PAGO","0.00","0.30","0.30"
"000039889","000038740","PAGO","0.00","0.00","0.00"
"000039890","000039144","PAGO","0.00","0.40","0.40"
"000039891","000039009","PAGO","0.00","0.80","0.80"
"000039892","000038769","PAGO","0.00","2.40","2.40"
"000039893","000038901","PAGO","576.00","6.00","582.00"
"000039894","000038456","PAGO","0.00","0.60","0.60"
"000039894","000039217","PAGO","79.00","2.40","81.40"
"000039895","000039218","PAGO","42.00","2.40","44.40"
"000039896","000039274","PAGO","27.20","3.20","30.40"
"000039897","000038907","PAGO","72.00","0.60","72.60"
"000039898","000038881","PAGO","0.00","4.00","4.00"
"000039899","000038317","PAGO","0.00","0.60","0.60"
"000039900","000039318","PAGO","655.50","6.00","661.50"
"000039901","000039210","PAGO","54.50","0.30","54.80"
"000039902","000039075","PAGO","0.00","3.60","3.60"
"000039904","000039256","PAGO","252.00","0.80","252.80"
"000039908","000038894","PAGO","0.00","1.20","1.20"
"000039910","000039109","PAGO","170.00","0.00","170.00"
"000039912","000039131","PAGO","0.00","0.40","0.40"
"000039913","000038784","PAGO","0.00","1.50","1.50"
"000039914","000039014","DEBE","327.00","7.20","334.20"
"000039915","000038914","PAGO","18.00","0.60","18.60"
"000039916","000039341","PAGO","1420.00","11.20","1431.20"
"000039917","000039357","PAGO","272.50","0.00","272.50"
"000039918","000034519","DEBE","0.00","0.80","0.80"
"000039919","000039348","DEBE","354.10","0.00","354.10"
"000039920","000034519","DEBE","0.00","0.80","0.80"
"000039921","000039348","PAGO","354.10","0.00","354.10"
"000039922","000038985","PAGO","31.00","0.30","31.30"
"000039923","000034519","PAGO","0.00","0.80","0.80"
"000039924","000038869","PAGO","0.00","0.40","0.40"
"000039925","000038681","PAGO","0.00","0.40","0.40"
"000039928","000038920","PAGO","0.00","14.00","14.00"
"000039929","000039542","PAGO","0.00","0.30","0.30"
"000039930","000039412","PAGO","90.00","1.60","91.60"
"000039932","000039499","PAGO","53.00","0.90","53.90"
"000039933","000036090","PAGO","0.00","0.00","0.00"
"000039933","000039207","PAGO","362.00","0.80","362.80"
"000039936","000039228","PAGO","92.80","1.50","94.30"
"000039938","000038460","PAGO","0.00","8.00","8.00"
"000039939","000039137","DEBE","0.00","0.80","0.80"
"000039940","000039162","PAGO","540.00","2.40","542.40"
"000039941","000039014","PAGO","0.00","7.20","7.20"
"000039942","000039052","PAGO","31.70","0.00","31.70"
"000039943","000039115","PAGO","0.00","2.00","2.00"
"000039946","000039262","PAGO","545.00","0.00","545.00"
"000039946","000039458","PAGO","159.00","0.00","159.00"
"000039947","000039307","PAGO","0.00","3.20","3.20"
"000039948","000038891","PAGO","0.00","0.00","0.00"
"000039949","000039157","PAGO","0.00","2.00","2.00"
"000039952","000039022","DEBE","0.00","7.20","7.20"
"000039954","000039249","PAGO","109.00","0.00","109.00"
"000039955","000038660","PAGO","0.00","4.00","4.00"
"000039957","000039273","PAGO","0.00","0.80","0.80"
"000039958","000038787","PAGO","0.00","0.90","0.90"
"000039962","000038906","PAGO","0.00","0.90","0.90"
"000039963","000039466","PAGO","387.00","2.40","389.40"
"000039964","000036482","PAGO","0.00","1.80","1.80"
"000039965","000039397","PAGO","95.40","0.40","95.80"
"000039966","000039254","PAGO","163.50","0.00","163.50"
"000039967","000038998","PAGO","74.50","0.80","75.30"
"000039968","000039057","DEBE","109.00","2.70","111.70"
"000039969","000039057","PAGO","109.00","2.70","111.70"
