idsolicitud,idsolicitud_acancelar,estado,saldocuota,saldomora,totaldeuda
"000017873","000016852","PAGO","0.00","2.10","2.10"
"000017875","000016968","PAGO","0.00","0.90","0.90"
"000017876","000016950","PAGO","0.00","0.80","0.80"
"000017878","000017226","PAGO","545.00","0.00","545.00"
"000017879","000016989","PAGO","216.00","0.80","216.80"
"000017880","000012703","PAGO","0.00","2.40","2.40"
"000017881","000017380","PAGO","190.60","0.00","190.60"
"000017882","000017244","PAGO","81.40","0.00","81.40"
"000017883","000016830","PAGO","0.00","0.00","0.00"
"000017886","000017211","PAGO","229.00","0.00","229.00"
"000017887","000017211","PAGO","0.00","0.00","0.00"
"000017888","000017362","PAGO","8640.00","6.00","8646.00"
"000017890","000017239","PAGO","0.00","2.00","2.00"
"000017892","000016876","PAGO","0.00","2.40","2.40"
"000017893","000016997","PAGO","0.00","5.70","5.70"
"000017894","000017089","PAGO","106.80","1.20","108.00"
"000017895","000014378","PAGO","0.00","0.40","0.40"
"000017896","000017293","PAGO","362.00","0.40","362.40"
"000017897","000017210","PAGO","0.00","0.00","0.00"
"000017898","000017136","PAGO","196.00","0.40","196.40"
"000017904","000017065","PAGO","55.00","0.90","55.90"
"000017908","000017138","PAGO","436.00","0.00","436.00"
"000017909","000017157","PAGO","52.20","1.50","53.70"
"000017910","000017205","PAGO","0.00","12.00","12.00"
"000017911","000017111","PAGO","261.00","5.60","266.60"
"000017912","000017182","PAGO","0.00","6.80","6.80"
"000017913","000017383","PAGO","0.00","0.00","0.00"
"000017914","000017278","PAGO","71.20","1.60","72.80"
"000017917","000017047","PAGO","218.00","6.00","224.00"
"000017918","000017087","PAGO","900.00","6.00","906.00"
"000017919","000017254","PAGO","0.00","0.40","0.40"
"000017920","000017156","PAGO","0.00","0.60","0.60"
"000017922","000017151","PAGO","0.00","0.00","0.00"
"000017925","000017368","PAGO","181.00","0.30","181.30"
"000017927","000017164","PAGO","270.00","3.20","273.20"
"000017931","000017043","PAGO","0.00","0.60","0.60"
"000017933","000017308","PAGO","327.00","0.00","327.00"
"000017934","000017255","PAGO","0.00","2.00","2.00"
"000017935","000016986","PAGO","288.80","4.00","292.80"
"000017937","000017028","PAGO","0.00","0.80","0.80"
"000017938","000017252","PAGO","0.00","1.60","1.60"
"000017940","000012228","PAGO","0.00","4.00","4.00"
"000017942","000017466","PAGO","181.00","0.90","181.90"
"000017943","000017124","PAGO","7200.00","21.00","7221.00"
"000017944","000017170","PAGO","653.30","1.60","654.90"
"000017945","000017020","PAGO","0.00","0.40","0.40"
"000017946","000017604","PAGO","144.00","0.90","144.90"
"000017947","000017291","PAGO","507.90","3.20","511.10"
"000017948","000017321","PAGO","459.60","5.60","465.20"
"000017951","000017248","PAGO","817.50","1.00","818.50"
"000017952","000017303","PAGO","810.00","5.00","815.00"
"000017954","000017311","PAGO","18.20","2.40","20.60"
"000017955","000017163","PAGO","114.00","1.20","115.20"
"000017957","000017290","PAGO","272.50","0.40","272.90"
"000017959","000017557","PAGO","408.60","0.00","408.60"
"000017963","000017370","PAGO","149.20","2.10","151.30"
"000017964","000017395","PAGO","84.00","5.60","89.60"
"000017965","000017528","PAGO","0.00","0.00","0.00"
"000017968","000017039","PAGO","0.00","0.00","0.00"
"000017969","000017207","PAGO","0.00","2.40","2.40"
"000017971","000017261","PAGO","202.00","0.80","202.80"
"000017972","000017203","PAGO","115.00","1.80","116.80"
"000017974","000017671","PAGO","81.60","0.00","81.60"
"000017976","000017114","PAGO","0.00","0.80","0.80"
"000017977","000017391","PAGO","218.00","0.00","218.00"
"000017979","000017545","PAGO","36.00","0.00","36.00"
"000017980","000017513","PAGO","0.00","0.30","0.30"
"000017981","000017517","PAGO","272.50","0.00","272.50"
"000017982","000017377","PAGO","190.20","0.00","190.20"
"000017983","000017171","PAGO","151.20","1.20","152.40"
"000017984","000016980","PAGO","0.00","0.30","0.30"
"000017985","000017176","PAGO","125.00","1.20","126.20"
"000017986","000016791","PAGO","0.00","0.90","0.90"
"000017986","000017392","PAGO","136.00","0.00","136.00"
"000017987","000017072","PAGO","0.00","0.80","0.80"
"000017988","000017077","PAGO","0.00","2.00","2.00"
"000017989","000015382","PAGO","0.00","2.00","2.00"
"000017991","000017149","PAGO","200.00","0.00","200.00"
"000017992","000016058","PAGO","0.00","12.00","12.00"
"000017992","000016638","PAGO","0.00","7.00","7.00"
"000017994","000017429","PAGO","47.70","0.30","48.00"
"000017995","000017145","PAGO","143.60","0.00","143.60"
"000017996","000017621","PAGO","272.50","0.00","272.50"
"000017997","000017122","PAGO","129.40","0.80","130.20"
"000017998","000017052","PAGO","16.80","0.30","17.10"
"000017999","000017338","PAGO","114.80","0.90","115.70"
"000018004","000017347","PAGO","136.10","1.80","137.90"
"000018005","000017405","PAGO","97.20","0.90","98.10"
"000018006","000017300","PAGO","0.00","24.00","24.00"
"000018007","000017016","PAGO","0.00","1.20","1.20"
"000018009","000017048","PAGO","143.60","2.00","145.60"
"000018012","000017139","PAGO","144.50","0.00","144.50"
"000018017","000017645","PAGO","525.00","0.80","525.80"
"000018018","000017175","PAGO","85.60","0.40","86.00"
"000018019","000017498","PAGO","508.00","-2.40","505.60"
"000018021","000017251","PAGO","13.00","0.30","13.30"
"000018022","000017272","PAGO","0.00","0.00","0.00"
"000018023","000017310","PAGO","99.20","0.90","100.10"
"000018024","000017531","PAGO","130.00","1.20","131.20"
"000018026","000016632","PAGO","0.00","0.30","0.30"
"000018028","000017457","PAGO","1962.00","6.00","1968.00"
"000018030","000017449","PAGO","817.50","4.00","821.50"
"000018032","000016566","PAGO","0.00","1.50","1.50"
"000018033","000017155","PAGO","0.00","2.00","2.00"
"000018036","000017091","PAGO","0.00","12.00","12.00"
"000018037","000017343","PAGO","105.20","0.80","106.00"
"000018038","000017451","PAGO","325.60","0.40","326.00"
"000018039","000017452","PAGO","726.00","2.40","728.40"
"000018041","000017206","PAGO","80.00","0.80","80.80"
"000018042","000017142","PAGO","0.00","0.90","0.90"
"000018043","000016185","PAGO","0.00","0.80","0.80"
"000018045","000017520","PAGO","81.60","0.30","81.90"
"000018049","000017650","PAGO","995.00","7.00","1002.00"
"000018050","000017566","PAGO","212.00","1.20","213.20"
"000018051","000017586","PAGO","0.00","2.40","2.40"
"000018053","000017683","PAGO","163.50","0.00","163.50"
"000018054","000017152","PAGO","0.00","1.50","1.50"
"000018055","000017215","PAGO","315.00","0.00","315.00"
"000018058","000017274","PAGO","0.00","1.20","1.20"
"000018059","000016675","PAGO","0.00","0.00","0.00"
"000018061","000017433","PAGO","545.00","0.80","545.80"
"000018062","000017524","PAGO","580.30","6.40","586.70"
"000018063","000017166","PAGO","0.00","0.90","0.90"
"000018064","000017167","PAGO","0.00","0.00","0.00"
"000018065","000017453","PAGO","190.60","0.00","190.60"
"000018066","000017696","PAGO","54.50","2.10","56.60"
"000018067","000017197","PAGO","90.00","1.20","91.20"
"000018068","000016588","PAGO","0.00","0.80","0.80"
"000018069","000017269","PAGO","81.50","2.70","84.20"
"000018071","000017281","PAGO","155.80","3.20","159.00"
"000018072","000017227","PAGO","850.00","15.00","865.00"
"000018073","000017447","PAGO","97.60","0.90","98.50"
"000018074","000017295","PAGO","172.80","1.60","174.40"
"000018075","000017199","PAGO","176.50","6.00","182.50"
